1.7349534529471735 + 0.012100335323172989im
1.7349535406287584 + 0.012184252884900706im
1.734953629530317 + 0.012268752426602822im
1.7349537196696165 + 0.01235383798340353im
1.7349538110633829 + 0.012439513620069266im
1.7349539037291308 + 0.012525783428754652im
1.7349539976842454 + 0.012612651530286257im
1.7349540929476726 + 0.012700122073154282im
1.734954189536671 + 0.012788199235985936im
1.7349542874702657 + 0.012876887225534359im
1.7349543867669008 + 0.012966190277935339im
1.7349544874454617 + 0.013056112658852665im
1.734954589525332 + 0.013146658663316175im
1.7349546930259132 + 0.013237832616205413im
1.734954797967231 + 0.013329638872220472im
1.7349549043690555 + 0.013422081816755502im
1.7349550122517057 + 0.013515165865277658im
1.7349551216361279 + 0.013608895463587081im
1.7349552325430426 + 0.013703275088841855im
1.7349553449934578 + 0.013798309249088944im
1.7349554590091631 + 0.013894002483510914im
1.7349555746115077 + 0.013990359362947116im
1.7349556918229443 + 0.014087384489805954im
1.7349558106657212 + 0.014185082498371191im
1.7349559311627587 + 0.014283458055084505im
1.7349560533368513 + 0.014382515858930415im
1.7349561772114146 + 0.014482260641212597im
1.7349563028101642 + 0.014582697166333368im
1.7349564301568328 + 0.014683830231631766im
1.7349565592761056 + 0.014785664667426819im
1.73495669019264 + 0.014888205337832087im
1.7349568229310939 + 0.014991457140941808im
1.7349569575171673 + 0.015095425008281866im
1.7349570939763708 + 0.01520011390586038im
1.7349572323350408 + 0.015305528833945235im
1.7349573726193839 + 0.015411674827743506im
1.7349575148562422 + 0.01551855695723442im
1.7349576590726818 + 0.015626180327797726im
1.7349578052963353 + 0.01573455007979293im
1.7349579535554178 + 0.015843671389146576im
1.7349581038779875 + 0.01595354946826769im
1.7349582562928305 + 0.016064189565417678im
1.7349584108287885 + 0.01617559696539904im
1.7349585675157115 + 0.016287776989266423im
1.7349587263836068 + 0.01640073499507688im
1.734958887462598 + 0.016514476378552786im
1.7349590507835881 + 0.016629006572255873im
1.734959216377812 + 0.01674433104665152im
1.7349593842766815 + 0.016860455310287712im
1.7349595545123528 + 0.016977384909600338im
1.734959727117698 + 0.01709512542957489im
1.734959902125354 + 0.017213682494121835im
1.7349600795686884 + 0.01733306176602247im
1.734960259481802 + 0.017453268947391378im
1.7349604418990323 + 0.0175743097796142im
1.7349606268553337 + 0.017696190044205255im
1.7349608143857733 + 0.017818915562821256im
1.7349610045261525 + 0.017942492197361447im
1.7349611973132968 + 0.018066925849955638im
1.734961392783689 + 0.0181922224644486im
1.734961590974657 + 0.018318388025371325im
1.7349617919242466 + 0.01844542855887631im
1.734961995670468 + 0.01857335013322137im
1.734962202252646 + 0.018702158858207668im
1.7349624117100753 + 0.018831860886274567im
1.7349626240826452 + 0.018962462412740896im
1.7349628394113767 + 0.019093969675233437im
1.734963057737072 + 0.019226388955352332im
1.7349632791014535 + 0.01935972657801522im
1.7349635035467932 + 0.01949398891190019im
1.7349637311160846 + 0.01962918236992693im
1.7349639618527262 + 0.019765313409470027im
1.7349641958009119 + 0.01990238853257325im
1.7349644330053338 + 0.02004041428656412im
1.734964673511239 + 0.02017939726407633im
1.7349649173645134 + 0.020319344103608895im
1.7349651646116648 + 0.02046026148964296im
1.734965415300316 + 0.020602156152465856im
1.7349656694782436 + 0.02074503486989381im
1.7349659271937303 + 0.020888904466307687im
1.7349661884960834 + 0.02103377181356891im
1.7349664534354654 + 0.021179643830937255im
1.7349667220625784 + 0.02132652748563452im
1.7349669944281543 + 0.02147442979386284im
1.7349672705849297 + 0.021623357819574685im
1.734967550585306 + 0.021773318676395242im
1.7349678344826331 + 0.02192431952689529im
1.7349681223313873 + 0.02207636758352111im
1.734968414186738 + 0.02222947010834805im
1.734968710103838 + 0.022383634414720088im
1.7349690101399837 + 0.022538867865452467im
1.7349693143520226 + 0.022695177875327512im
1.7349696227981064 + 0.02285257191040508im
1.7349699355372645 + 0.023011057488274197im
1.7349702526295239 + 0.023170642178469255im
1.7349705741347194 + 0.023331333604067445im
1.734970900115132 + 0.02349313943945287im
1.7349712306324232 + 0.023656067413595286im
1.7349715657500586 + 0.02382012530826178im
1.7349719055317394 + 0.023985320959636236im
1.7349722500431113 + 0.024151662257514247im
1.7349725993491119 + 0.02431915714758412im
1.7349729535170666 + 0.02448781362954931im
1.7349733126143383 + 0.024657639759132512im
1.7349736767095965 + 0.02482864364796905im
1.7349740458725067 + 0.025000833463555607im
1.7349744201737234 + 0.025174217430183034im
1.7349747996844291 + 0.025348803829536505im
1.7349751844773371 + 0.0255246010002112im
1.7349755746257292 + 0.02570161733906909im
1.7349759702046808 + 0.025879861300531083im
1.7349763712892106 + 0.026059341398579548im
1.7349767779562735 + 0.026240066205548904im
1.7349771902833193 + 0.026422044353479im
1.7349776083494193 + 0.026605284534118825im
1.7349780322342645 + 0.02678979549964293im
1.7349784620187831 + 0.026975586062998495im
1.7349788977851501 + 0.02716266509800623im
1.7349793396168547 + 0.027351041539898778im
1.7349797875979083 + 0.02754072438647857im
1.7349802418142704 + 0.02773172269727578im
1.734980702352578 + 0.027924045595006722im
1.7349811693007027 + 0.028117702265664173im
